EmpID,TitleOfCourtesy,Photo,EmpFirst,EmpMN,EmpLast,WarehouseID,SSN,DOB,StartDate,EndDate,Address,City,State,Zip,PositionID,Review,Phone,Cell,Salary,HourlyRate,Memo
1,Mr,,David,\N,Bowers,WA-1,154003785,1985-09-12,1998-01-22,,10124 Metropolitan Drive,Seattle,WA,98117,1,,2062465132,2065754321,72000,,
2,Ms,,Robert,\N,Iko,WA-1,705246513,1994-12-16,2006-12-15,,698 Round Mountain,Seattle,WA,98124,7,2007-06-15,2065472315,2064875312,59500,,
3,Dr,,Virginia,\N,Sanchez,WA-1,724568132,1988-10-24,2004-06-10,,201 River Road,Spokane,WA,99215,2,2007-12-15,5093451687,5096348732,48500,,Emergency contact for alarm company
4,Prof,,Eric,\N,Behrens,WY-1,956346120,1995-02-14,2005-09-12,2006-02-15,21 Adrian Way,Jackson Hole,WY,83005,3,,3075461272,3075763154,,12.5,
7,,,Brian,\N,Castillo,OR-1,923546124,1990-08-14,2001-06-14,,52 Denton Drive #49,Portland,OR,97205,3,2008-06-14,5035742742,5035647154,,12.75,
8,,,Cynthia,\N,Cox,OR-1,854230000,1985-10-06,2006-12-30,,1515 Patterson Road,Portland,OR,97210,2,2007-06-30,5032412423,5035496113,50000,,
9,,,John,\N,Maestas,WA-1,487002468,1995-11-24,2001-11-15,,5506 Beach Street West,Spokane,WA,99216,4,2007-11-01,5096741543,5093782312,42500,,Speaks fluent Spanish
10,Mr,,Mark,\N,Cumberland,OR-1,705435126,1996-07-30,2002-10-01,2006-03-15,16542 Angus Road #280,Portland,OR,97206,6,,5032486453,5032786424,,12.25,
11,Ms,,Darnell,\N,Colmenero,WA-1,723549785,1997-04-05,2002-09-02,,6000 Balcones Drive,Seattle,WA,98113,3,2008-09-15,2063475354,2063547215,,15,
12,Dr,,James,\N,Lu,WY-1,709564321,1999-12-31,2005-02-24,,5003 Mallard Avenue #587,Jackson Hole,WY,83001,2,2007-02-24,3076784513,3072468732,48500,,Speaks fluent Chinese
13,Prof,,Barry,\N,Orosco,WA-1,723246875,1989-07-04,2006-03-21,2006-05-15,2001 Kenosha Pass,Spokane,WA,99216,5,,5093451357,5093575166,,9.75,
14,,,Richard,\N,Hargadon,WA-1,984651372,1991-03-01,2006-07-15,,901 Great Oaks Cove,Seattle,WA,98154,6,2007-08-15,2063547987,2063541287,,10.5,
15,Mr,,John,\N,Nader,WY-1,905346755,1992-04-24,2001-08-01,,321 Sturgis,Jackson Hole,WY,83001,3,2008-08-01,3075467135,3072468731,,11.25,
16,Ms,,George,\N,Medrano,WA-1,546570000,1994-04-10,2006-10-15,,3987 NW 87th Street #8,Seattle,WA,98124,6,2008-10-15,2063412024,2063241200,,11.25,
17,Dr,,Rachel,\N,Goodman,OR-1,978451342,1997-06-21,2004-11-03,,9876 Parker Street,Portland,OR,97204,5,2008-01-15,5032415756,5032175613,,12.75,On maternity leave through 12/2008
18,Prof,,Shayla,\N,Anderson,WA-1,926543210,1988-09-28,2003-09-24,,4321 Barton Cliff Drive,Seattle,WA,98124,6,2008-09-15,2063214571,2063218756,,12.5,
19,Mr,,Alfonso,\N,Ozmun,WA-1,946532100,1990-05-30,2005-06-15,,510 Immanuel Avenue,Seattle,WA,98126,5,2008-02-28,2063124024,2062497513,,12,
20,Ms,,Sophia,\N,Nunis,WA-1,987451372,1989-12-12,2006-10-20,,5471 Wyoming Springs Way,Spokane,WA,99214,6,2008-01-15,5093478992,5098973246,,12,
21,Dr,,Dora,\N,Nettles,WA-1,723246512,1988-10-14,2002-10-21,,24 Frontier Trail NE,Seattle,WA,98123,3,2008-02-15,2067546512,2065795462,,14.75,
22,Prof,,Kristina,\N,Romano,WA-1,704513547,1997-06-20,2001-05-20,,8 Anderson Loop,Seattle,WA,98113,4,2008-05-01,2062449876,2062748648,45000,,
23,,,Doug,\N,Hearne,OR-1,722154321,1982-05-21,2004-01-15,,11 Lost Pine Trail,Portland,OR,97204,6,2008-01-15,5032462465,5037654354,,12.75,
24,,,Tom,\N,Murphy,OR-1,701543216,1977-06-05,2004-02-16,,4007 James White Avenue,Portland,OR,97214,6,2008-03-15,5032471355,5037543257,,13,
25,Mr,,Felicia,\N,Castro,OR-1,724216452,1980-09-14,2005-03-16,,611 Montclaire Street,Portland,OR,97226,6,2008-03-15,5037543871,5034757135,,12.5,
26,Ms,,Gene,\N,Chiles,OR-1,954321642,1982-07-05,2004-03-01,,2506 Ferguson Lane #411,Portland,OR,97215,6,2008-03-01,5032798246,5032467835,,12.5,
27,Dr,,Kirby,\N,Meyer,OR-1,984651357,1980-11-12,2005-05-31,,110 Ponderosa,Portland,OR,97209,4,2007-12-15,5032716579,5032795132,42500,,
28,Prof,,Jim,\N,Bostic,OR-1,454006543,1979-12-12,2005-07-06,,1201 Chestnut Avenue #2,Portland,OR,97211,6,2008-07-01,5032715496,5032164573,,11.75,
29,Mr,,Leland,\N,McKeeman,WY-1,963124672,1978-11-01,2004-09-25,,79513 Airport Blvd.,Jackson Hole,WY,83005,3,2008-09-01,3072462135,3072462465,,14.5,
30,Ms,,Wade,\N,Ragland,WY-1,706324675,1980-03-01,2004-09-25,,9714 Circle Drive,Jackson Hole,WY,83005,4,,3072749264,3072243241,43500,,
31,Dr,,Cynthia,\N,Zucker,WY-1,705315790,1967-08-22,2001-06-22,,304 Ridgewood Drive #1,Jackson Hole,WY,83002,6,2007-06-01,3075556432,3072465796,,11.5,
32,Prof,,Lisa,\N,Virr,WY-1,421001579,1980-11-28,2006-11-16,,10086 Wells Parkway,Jackson Hole,WY,83010,5,2007-11-15,3072746313,3072154324,,11.5,
33,,,Shane,\N,Pichardo,WY-1,987465137,1983-12-14,2006-01-29,,8301 Alvin High Blvd.,Jackson Hole,WY,83011,6,2007-01-15,3075553216,3072468763,,11.5,
34,,,Richard,\N,Pena,WY-1,716543272,1981-02-24,2006-04-26,,5713 Mystic Street,Jackson Hole,WY,83012,6,2007-11-25,3072456876,3072132762,,11.75,
35,,,Jason,\N,Collins,WY-1,722165711,1980-10-14,2005-08-01,,10275 Sam Bass Road,Jackson Hole,WY,83012,6,2007-08-01,3072623546,3072664533,,11.85,
